"date","client","revenue","salary_avg","country","payment"
"2019-06-01","advantagehayoor",6873.69,2126.72,"Brazil","cash"
"2020-08-01","ryanmiller654",9093.5,3363.07,"Brazil","cash"
"2019-11-01","ashleytaylor321",7613.34,2432.17,"Brazil","fiverr"
"2020-05-01","mattmiller234",6551.56,2921.42,"United States","fiverr"
"2020-03-01","thomasdavis234",3130.74,3300.04,"United States","cash"
"2019-04-01","rebeccakelly",7126.7,1358.19,"United States","cash"
"2020-06-01","samanthawilliams234",4980.03,3694.06,"Brazil","fiverr"
"2020-02-01","UDLA",8043.11,2990.08,"United States","cash"
"2020-07-01","UDLA",10338.77,2415.09,"United States","cash"
"2019-02-01","jameslee987",10228.24,2379.14,"United States","fiverr"
"2020-02-01","rebeccakelly",9943.53,2182.41,"United States","fiverr"
"2020-05-01","tt_gta",5813.51,1665.27,"Brazil","fiverr"
"2020-12-01","lifeaj130",7057.43,2978.45,"Brazil","fiverr"
"2019-11-01","laurasmith456",11098.4,4518.57,"Brazil","paypal"
"2020-08-01","UDLA",5897.67,2837.01,"United States","cash"
"2020-11-01","tt_gta",5289.2,2795.47,"Brazil","cash"
"2019-12-01","mattmiller234",7131.16,2412.97,"Brazil","cash"
"2019-12-01","UBO",7802.23,1477.13,"Brazil","fiverr"
"2019-10-01","UDLA",8121.85,1824.48,"United States","cash"
"2020-03-01","mattmiller234",7974.67,1756.32,"Brazil","cash"
"2020-09-01","mattmiller234",11042.49,2837.54,"Brazil","fiverr"
"2019-05-01","UBO",10643.88,3688.79,"Germany","cash"
"2019-11-01","UBO",11272.27,1821.84,"Brazil","cash"
"2019-03-01","robertmartin567",9510.2,2150.64,"United States","cash"
"2019-03-01","ashleytaylor321",7280.04,3277.76,"Brazil","cash"
"2020-09-01","advantagehayoor",8438.14,1842.38,"Brazil","fiverr"
"2019-01-01","peterpark789",9435.48,2589,"Brazil","cash"
"2019-12-01","UDLA",7812.19,1895.71,"Brazil","cash"
"2020-09-01","laurenrodriguez654",9406.23,1736.66,"Brazil","cash"
"2020-02-01","ryanmiller654",8529.32,2330.66,"United States","cash"
"2019-10-01","UBO",5065.94,1517.34,"Brazil","cash"
"2019-07-01","jameslee987",6048.47,2118.39,"Brazil","cash"
"2020-09-01","UDLA",10501.47,2017.92,"Brazil","cash"
"2019-03-01","lifeaj130",4647.28,3922.74,"Brazil","fiverr"
"2019-11-01","UDLA",8619.03,3469.6,"Brazil","paypal"
"2020-08-01","UBO",6342.91,778.27,"Brazil","cash"
"2019-03-01","thomasdavis234",7217.04,2626.24,"Brazil","cash"
"2019-05-01","jatalijatali",10749.38,3720.6,"United States","fiverr"
"2019-05-01","robertmartin567",11917.11,2073.53,"United States","fiverr"
"2019-01-01","hueydog1",5088.74,1136.93,"United States","cash"
"2019-07-01","robertmartin567",6285.36,2703.75,"United States","cash"
"2019-01-01","jatalijatali",8104.4,2612.05,"Brazil","cash"
"2020-06-01","madisonjackson123",7256.04,3223.67,"United States","cash"
"2019-01-01","UBO",6915.1,1952.34,"Brazil","fiverr"
"2019-05-01","elizabethkim456",9419.98,1416.33,"Brazil","cash"
"2020-12-01","lifeaj130",6870.46,3825.31,"Brazil","fiverr"
"2020-12-01","laurenrodriguez654",5904.16,4126.63,"Brazil","cash"
"2019-04-01","UDLA",7828.48,1691.29,"Brazil","cash"
"2019-05-01","UDLA",12732.39,3010.98,"Brazil","fiverr"
"2019-10-01","jameslee987",10150.95,1304.99,"United States","cash"
"2020-09-01","williamnguyen123",7824.08,3095.81,"Brazil","cash"
"2019-07-01","jatalijatali",6098.2,2907.57,"United States","cash"
"2020-04-01","UDLA",8650.95,1254.62,"Brazil","cash"
"2019-03-01","johndoe123",10500.47,3723.94,"Brazil","fiverr"
"2020-08-01","UBO",4901.39,2099.27,"Brazil","paypal"
"2020-11-01","laurasmith456",6835.79,1472.02,"United States","cash"
"2020-08-01","jessicawong987",3924.52,452.55,"United States","paypal"
"2019-07-01","jessicawong987",10645.37,3609.88,"Germany","cash"
"2019-05-01","Larry SDF",6759.32,3344.67,"Germany","paypal"
"2020-12-01","hueydog1",9303.24,1832.93,"Brazil","cash"
"2019-11-01","UBO",7002.73,3842.94,"Brazil","fiverr"
"2020-06-01","chrisdavis890",8428.12,2731.64,"United States","cash"
"2020-12-01","robertmartin567",10835.04,2528.65,"United States","fiverr"
"2020-12-01","UBO",6716.99,1972.45,"Brazil","cash"
"2020-09-01","samanthawilliams234",8920.85,3264.62,"Brazil","cash"
"2019-07-01","danielrivera321",11947.97,2359.97,"United States","cash"
"2020-03-01","lifeaj130",9039.53,3268.83,"United States","cash"
"2019-04-01","mattmiller234",9876.35,2235.07,"Brazil","fiverr"
"2019-06-01","stephaniechen123",6253.94,2510.5,"United States","fiverr"
"2020-08-01","robertmartin567",11429.61,1928.85,"Brazil","cash"
"2020-01-01","nataliechen567",11129.35,2268.6,"Brazil","fiverr"
"2019-02-01","UDLA",7731.52,1500.57,"Brazil","cash"
"2019-06-01","nataliechen567",8885.32,2295.57,"United States","fiverr"
"2019-10-01","UBO",4067.71,3780.14,"Brazil","cash"
"2019-05-01","peterpark789",5358.16,1928.81,"Brazil","fiverr"
"2019-02-01","jessicawong987",9097.75,3522.72,"United States","cash"
"2019-06-01","victoriajones321",10934.24,3720.75,"Brazil","cash"
"2020-03-01","josephrivera789",5828.26,3083.86,"Brazil","fiverr"
"2020-12-01","kaylamartinez987",11638.06,1180.67,"Germany","cash"
"2020-06-01","hueydog1",7547.24,2675.02,"Spain","cash"
"2020-12-01","UDLA",9432.42,3009.7,"United States","fiverr"
"2020-12-01","nataliechen567",10950.21,3615.54,"Brazil","fiverr"
"2019-12-01","UDLA",4312.34,1475.94,"Germany","cash"
"2019-03-01","lifeaj130",9092.51,2706.48,"Chile","cash"
"2020-08-01","williamnguyen123",10975.5,2042.6,"United States","cash"
"2020-09-01","chrisdavis890",11113.42,3275.08,"United States","cash"
"2019-05-01","brandicasey39",6744.37,2853.93,"Germany","cash"
"2020-12-01","brianjohnson654",7634.37,3134.07,"United States","cash"
"2020-03-01","mattmiller234",10468.55,1816.43,"United States","cash"
"2020-07-01","lifeaj130",8471.54,1307.5,"United States","cash"
"2019-10-01","UBO",10330.92,2434.12,"Brazil","cash"
"2020-12-01","UBO",9862.25,2483.27,"Brazil","cash"
"2020-08-01","UDLA",8152.22,3253.94,"United States","paypal"
"2020-03-01","jenniferbrown890",6663.92,616.37,"Brazil","paypal"
"2019-06-01","rebeccakelly",8558.68,2474.42,"Brazil","fiverr"
"2019-07-01","meganjackson789",7439.1,3252.43,"Brazil","fiverr"
"2019-07-01","johndoe123",5254.52,2188.73,"Brazil","cash"
"2019-09-01","ryanmiller654",6579.23,4181.38,"United States","cash"
"2019-09-01","jenniferbrown890",11466.25,3445.74,"Brazil","cash"
"2019-12-01","stephaniechen123",9846.52,1065.66,"Brazil","cash"
"2019-02-01","thomasdavis234",6973.9,2284.71,"United States","fiverr"
"2019-05-01","kaylamartinez987",9344.26,3171.64,"United States","paypal"
"2019-05-01","UBO",4760.94,2855.48,"United States","fiverr"
"2020-04-01","elizabethkim456",5113.87,1776.26,"Brazil","cash"
"2019-12-01","UDLA",8526.68,2854.31,"Brazil","cash"
"2020-09-01","samanthawilliams234",8953.56,3038.99,"United States","cash"
"2020-05-01","lifeaj130",9537.09,2273.27,"United States","paypal"
"2019-06-01","mattmiller234",6980.92,1524.75,"United States","paypal"
"2020-08-01","danielrivera321",8840.13,1433.24,"United States","cash"
"2020-07-01","stephaniechen123",8327.7,2553.19,"Brazil","cash"
"2019-08-01","UDLA",6155.04,2884.38,"Brazil","cash"
"2020-04-01","UDLA",8460.88,1426.98,"Chile","fiverr"
"2019-04-01","jessicawong987",4092.41,1625.93,"Chile","cash"
"2019-01-01","lifeaj130",8716.66,1299.23,"Brazil","cash"
"2020-05-01","UDLA",8328.26,3930.18,"Chile","fiverr"
"2020-08-01","UBO",8866.99,2655.34,"Brazil","paypal"
"2020-05-01","jatalijatali",10612.75,2218.34,"Brazil","fiverr"
"2020-04-01","ashleytaylor321",8379.9,3653.69,"United States","cash"
"2020-07-01","ericgarcia890",8650.67,2786.75,"United States","cash"
"2020-07-01","UDLA",8713.93,690.23,"Brazil","fiverr"
"2019-08-01","UBO",10031.41,3132.55,"Brazil","fiverr"
"2020-11-01","johndoe123",7191.94,2739.28,"Brazil","cash"
"2019-11-01","UDLA",9423.13,4272.11,"Spain","cash"
"2019-03-01","chrisdavis890",5533.46,1683.51,"Brazil","cash"
"2020-06-01","peterpark789",7003.65,3128.13,"United States","cash"
"2020-04-01","rebeccakelly",7123.25,3021.36,"United States","cash"
"2020-08-01","jatalijatali",10725.33,2130.77,"Brazil","cash"
"2019-09-01","UDLA",7032.23,4883.69,"Brazil","cash"
"2020-09-01","advantagehayoor",6154.97,3096.85,"Brazil","cash"
"2020-07-01","kaylamartinez987",7792.07,2997.44,"Brazil","cash"
"2019-03-01","chrisdavis890",8785.52,1028.45,"Brazil","cash"
"2020-10-01","nataliechen567",14081.43,1491.04,"United States","fiverr"
"2019-02-01","ericgarcia890",8162.95,1917.61,"Brazil","cash"
"2019-10-01","jenniferbrown890",10381.04,1646.12,"Brazil","cash"
"2019-02-01","robertmartin567",7072.78,2290.6,"Brazil","cash"
"2020-09-01","andrewgarcia456",7310.63,2775.56,"Brazil","cash"
"2019-05-01","peterpark789",7767.97,3307.03,"United States","cash"
"2020-08-01","kaylamartinez987",10247.35,2332.24,"Brazil","fiverr"
"2019-12-01","olivialopez567",5162.22,1861.8,"Brazil","cash"
"2020-11-01","rebeccakelly",14415.79,2479.58,"United States","cash"
"2019-05-01","UBO",3779.16,1727.37,"Brazil","fiverr"
"2019-07-01","elizabethkim456",11245.74,2709.74,"Spain","fiverr"
"2019-09-01","UDLA",9708.25,1766.16,"United States","cash"
"2020-03-01","mattmiller234",4908.25,2696.64,"Brazil","cash"
"2020-12-01","ryanmiller654",7280.58,2711.88,"Brazil","fiverr"
"2020-11-01","victoriajones321",6051.57,3392.25,"Brazil","cash"
"2020-08-01","UBO",7284,1080.96,"United States","fiverr"
"2020-12-01","thomasdavis234",9316.51,2914.74,"United States","cash"
"2020-06-01","UBO",7491.51,3008.4,"United States","cash"
"2019-04-01","advantagehayoor",4530.11,1283.36,"Brazil","cash"
"2020-04-01","UBO",7761.53,2950.65,"Brazil","fiverr"
"2020-01-01","jatalijatali",6901.43,2245.4,"Brazil","fiverr"
"2020-01-01","UBO",8894.83,4093.44,"Germany","cash"
"2019-12-01","ashleytaylor321",6833.92,2052.03,"Brazil","cash"
"2019-12-01","williamnguyen123",7885.01,3496.25,"Spain","cash"
"2019-03-01","jameslee987",7912.39,2107.11,"Brazil","cash"
"2019-07-01","jessicawong987",9572.45,3165.61,"Brazil","cash"
"2019-11-01","jenniferbrown890",10737.72,2839.85,"Chile","cash"
"2019-05-01","robertmartin567",7122.85,3236.54,"Brazil","paypal"
"2020-03-01","ashleytaylor321",6513.09,2987.42,"United States","fiverr"
"2020-04-01","brianjohnson654",8932.87,2275.85,"Brazil","cash"
"2020-09-01","jenniferbrown890",10330.15,2110.93,"United States","cash"
"2020-03-01","rebeccakelly",9618.87,1652.45,"Germany","cash"
"2020-09-01","ashleytaylor321",7833.73,4420.06,"Brazil","cash"
"2019-11-01","UDLA",7918.31,3470.6,"Spain","cash"
"2019-10-01","chrisdavis890",9838.55,4910.8,"Brazil","paypal"
"2019-01-01","jameslee987",7640.03,3997.07,"Brazil","cash"
"2019-10-01","UDLA",7420.42,3067.29,"United States","fiverr"
"2020-07-01","stephaniechen123",7804.56,2068.17,"Australia","cash"
"2020-12-01","ashleytaylor321",9858.12,2582.42,"United States","paypal"
"2019-05-01","lifeaj130",8233.54,1726.44,"Brazil","cash"
"2020-04-01","jameslee987",9182.8,3902.57,"Brazil","cash"
"2020-05-01","lifeaj130",10328.5,3047.06,"Brazil","fiverr"
"2020-07-01","lifeaj130",5018.97,3207.48,"United States","cash"
"2019-08-01","rebeccakelly",9641.6,2146.58,"Brazil","cash"
"2020-05-01","jenniferbrown890",9521.26,3365.14,"Brazil","paypal"
"2019-03-01","nataliechen567",7779.9,2044.29,"Brazil","cash"
"2019-09-01","olivialopez567",8307.44,3493.61,"United States","paypal"
"2020-07-01","jatalijatali",9266.17,2601.48,"United States","cash"
"2020-02-01","hueydog1",7219.82,3243.79,"United States","cash"
"2019-08-01","jatalijatali",6132.61,1770.33,"Australia","cash"
"2020-12-01","lifeaj130",12162.45,3469.87,"United States","cash"
"2019-05-01","UDLA",7586.19,2329.35,"United States","cash"
"2020-12-01","UBO",5684.45,4116.1,"United States","fiverr"
"2019-12-01","lifeaj130",7302.88,3651.75,"United States","cash"
"2019-08-01","hueydog1",7564.11,5066.59,"United States","cash"
"2019-09-01","danielrivera321",9141.38,2326.62,"Germany","fiverr"
"2019-08-01","UBO",7727.76,2515.79,"United States","cash"
"2020-12-01","UDLA",8194.98,2867.82,"Germany","paypal"
"2020-08-01","hueydog1",6461.67,2327.7,"United States","fiverr"
"2020-05-01","UBO",10129.42,2534.4,"Burkina Faso","cash"
"2019-03-01","jessicawong987",8220.39,2658.13,"United States","cash"
"2020-09-01","laurenrodriguez654",8697.15,2974.84,"Brazil","cash"
"2019-10-01","jessicawong987",6849.66,3148.99,"Brazil","cash"
"2020-04-01","kaylamartinez987",6005.9,3787.27,"United States","cash"
"2020-04-01","jenniferbrown890",6715.68,1078.87,"United States","paypal"
"2019-12-01","jatalijatali",3933.07,1452.38,"Brazil","cash"
"2019-05-01","rebeccakelly",9128.47,1074.66,"Brazil","cash"
"2020-12-01","olivialopez567",6142.3,2506.77,"Brazil","paypal"
"2019-05-01","stephaniechen123",9621.1,3062.65,"Brazil","paypal"
"2019-08-01","UBO",9003.3,2563.91,"United States","cash"
"2019-05-01","UBO",6886.87,2617.47,"United States","fiverr"
"2019-09-01","UBO",8096.57,2049.82,"Brazil","cash"
"2019-09-01","kaylamartinez987",3398.49,1735.08,"United States","cash"
"2019-01-01","josephrivera789",10699.19,3712.14,"Brazil","fiverr"
"2020-06-01","jessicawong987",7199.73,1867.27,"Germany","cash"
"2019-04-01","UDLA",6330.7,1040.4,"Brazil","cash"
"2020-06-01","lifeaj130",6588.25,2766.91,"Germany","fiverr"
"2019-06-01","UDLA",2577.57,2779.58,"United States","cash"
"2019-06-01","kaylamartinez987",10313.21,1470.78,"United States","fiverr"
"2020-09-01","jameslee987",10773.88,2857.67,"United States","cash"
"2020-05-01","UDLA",8857.66,2289.85,"Brazil","cash"
"2019-12-01","elizabethkim456",6851.05,2463.65,"Spain","cash"
"2019-01-01","madisonjackson123",8391.84,2878.52,"Brazil","cash"
"2020-05-01","meganjackson789",8419.97,2511.26,"Brazil","cash"
"2020-06-01","chrisdavis890",6749.31,2320.98,"Brazil","cash"
"2020-05-01","thomasdavis234",7121.81,2871.34,"United States","fiverr"
"2020-08-01","UBO",5720.41,2492.04,"Brazil","cash"
"2019-04-01","josephrivera789",6976.74,2298.15,"United States","fiverr"
"2019-10-01","lifeaj130",8008.09,2755.37,"United States","fiverr"
"2019-05-01","UBO",11361.6,1203.21,"United States","fiverr"
"2020-09-01","Larry SDF",8796.37,2365.24,"Brazil","cash"
"2019-02-01","UDLA",9654.94,2149.96,"Brazil","fiverr"
"2019-09-01","Larry SDF",9732.02,2625.67,"Brazil","paypal"
"2020-08-01","chrisdavis890",4859.4,2050.26,"Brazil","cash"
"2020-05-01","brandicasey39",5253.77,3650.61,"United States","cash"
"2020-10-01","williamnguyen123",5964.92,1854.32,"United States","fiverr"
"2019-07-01","josephrivera789",9939.86,2142.08,"Brazil","cash"
"2020-03-01","nataliechen567",7530.32,2504.24,"Brazil","fiverr"
"2020-07-01","UDLA",8427.79,1477.84,"Brazil","fiverr"
"2020-03-01","UBO",8757.1,1926.67,"United States","cash"
"2019-07-01","UDLA",7095.65,2880.42,"Brazil","fiverr"
"2019-10-01","victoriajones321",7301.97,2025.09,"Brazil","paypal"
"2020-08-01","ericgarcia890",11634.65,1881.23,"Brazil","cash"
"2020-09-01","ashleytaylor321",7820.63,3155.35,"Brazil","cash"
"2019-09-01","madisonjackson123",10095.12,2635.89,"United States","fiverr"
"2019-03-01","olivialopez567",9716.51,2276.4,"Brazil","cash"
"2020-08-01","stephaniechen123",10508.36,2378.95,"Brazil","paypal"
"2020-10-01","UBO",8318.95,2748.28,"Brazil","cash"
"2019-11-01","lifeaj130",5951.64,2521.71,"United States","cash"
"2020-09-01","lifeaj130",5038.38,2613.61,"Brazil","cash"
"2020-12-01","laurenrodriguez654",10303.3,2899.42,"Germany","cash"
"2019-12-01","samanthawilliams234",8905.93,2687.05,"Brazil","cash"
"2020-05-01","andrewgarcia456",9364.92,1645.09,"Brazil","paypal"
"2019-12-01","chrisdavis890",4648.06,3105.4,"United States","fiverr"
"2019-07-01","johndoe123",8349.46,382.74,"Brazil","fiverr"
"2019-10-01","kaylamartinez987",4908.34,3082.96,"Brazil","fiverr"
"2019-09-01","Larry SDF",8137.8,3486.49,"Brazil","cash"
"2019-11-01","madisonjackson123",11406.71,2339.49,"Brazil","cash"
"2019-11-01","UDLA",8999.96,2609.18,"Brazil","cash"
"2019-07-01","UBO",5210.21,4197.21,"Brazil","cash"
"2020-10-01","jatalijatali",7009.75,3626.03,"Brazil","cash"
"2019-01-01","williamnguyen123",8600.24,1990.89,"Brazil","paypal"
"2020-07-01","ericgarcia890",9208.81,3805.6,"United States","cash"
"2019-04-01","johndoe123",10286.27,3731.49,"United States","fiverr"
"2019-07-01","jatalijatali",4041.87,2571.2,"Brazil","cash"
"2020-04-01","kaylamartinez987",6709.43,1813.19,"United States","fiverr"
"2019-08-01","josephrivera789",8985.97,641.57,"Germany","cash"
"2020-08-01","jenniferbrown890",6321.29,3448.97,"Burkina Faso","cash"
"2020-11-01","lifeaj130",8591.32,3243.4,"Burkina Faso","cash"
"2020-08-01","ashleytaylor321",6369.46,2208.3,"Brazil","cash"
"2020-12-01","robertmartin567",9477.39,1049.89,"United States","cash"
"2019-06-01","olivialopez567",10401.53,3012.02,"Brazil","fiverr"
"2019-08-01","UBO",7149.03,2522.31,"Brazil","fiverr"
"2019-07-01","rebeccakelly",6422.25,2832.28,"United States","fiverr"
"2019-02-01","UDLA",10303.96,2848.94,"Brazil","cash"
"2020-03-01","tt_gta",6456.94,1930.5,"Brazil","cash"
"2020-12-01","UDLA",12719.22,1416.2,"United States","cash"
"2020-11-01","samanthawilliams234",8787.46,2874.56,"United States","paypal"
"2020-11-01","Larry SDF",7865.2,2804.58,"Chile","fiverr"
"2019-09-01","UDLA",7871.15,2474.45,"United States","cash"
"2020-10-01","brianjohnson654",10153.67,3472.61,"Brazil","cash"
"2020-12-01","laurasmith456",9056.68,2564.37,"Brazil","fiverr"
"2019-04-01","UDLA",8105.16,3977.52,"United States","paypal"
"2019-06-01","jatalijatali",7480.42,2909.59,"Brazil","paypal"
"2020-06-01","brandicasey39",7884.41,2140.18,"Brazil","fiverr"
"2019-01-01","laurenrodriguez654",7460.7,2508.17,"United States","paypal"
"2020-10-01","jessicawong987",9140.67,2136.42,"Germany","cash"
"2020-10-01","UDLA",9235.16,2625.83,"United States","cash"
"2020-12-01","UBO",10048.17,1462.75,"Brazil","cash"
"2019-11-01","tt_gta",5370.04,1071.05,"Brazil","cash"
"2020-01-01","UDLA",7512.14,2932.11,"United States","fiverr"
"2020-09-01","jatalijatali",8246.06,3599.78,"Brazil","cash"
"2019-04-01","nataliechen567",8275.64,4191.26,"Brazil","paypal"
"2020-03-01","andrewgarcia456",10053.26,2784.27,"Brazil","paypal"
"2019-06-01","UBO",9152.6,2375.71,"Brazil","fiverr"
"2020-12-01","lifeaj130",5957.43,3368.6,"United States","fiverr"
"2020-09-01","UBO",7687.01,3347.95,"Brazil","cash"
"2020-01-01","jatalijatali",7315.24,2834.31,"Brazil","cash"
"2019-02-01","jenniferbrown890",9496.41,1857.31,"Germany","paypal"
"2019-09-01","nataliechen567",9999.35,3729.08,"United States","paypal"
"2019-07-01","UBO",10092.73,826.9,"Brazil","fiverr"
"2019-06-01","samanthawilliams234",7726,2282.23,"Burkina Faso","fiverr"
"2020-01-01","brandicasey39",8117.67,2619.34,"United States","cash"
"2020-06-01","peterpark789",5527.26,2008.15,"Spain","cash"
"2020-07-01","advantagehayoor",7725.05,3108.19,"United States","fiverr"
"2020-02-01","thomasdavis234",7415.61,2561.11,"Chile","cash"
"2020-10-01","UBO",7462.46,2256.72,"Brazil","cash"
"2019-10-01","williamnguyen123",4949.03,2822.46,"Brazil","paypal"
"2019-04-01","jameslee987",8533.15,2867.07,"Brazil","cash"
"2020-04-01","kaylamartinez987",9283.37,2921.66,"Brazil","fiverr"
"2019-08-01","UDLA",7927.24,2848.81,"Brazil","cash"
"2020-09-01","samanthawilliams234",7566.21,387.85,"Brazil","cash"
"2019-07-01","meganjackson789",9537.89,1907.29,"United States","fiverr"
"2020-04-01","kaylamartinez987",8821.09,2218.48,"Brazil","fiverr"
"2019-08-01","stephaniechen123",8685.64,1888.99,"Brazil","fiverr"
"2020-05-01","jenniferbrown890",8216.23,3279.01,"Chile","cash"
"2019-11-01","robertmartin567",6099.87,2875.65,"Brazil","paypal"
"2019-01-01","jatalijatali",9693.34,3664,"United States","cash"
"2019-06-01","laurenrodriguez654",5333.65,3256.71,"Brazil","fiverr"
"2019-11-01","lifeaj130",9878.74,2401.68,"United States","paypal"
"2020-01-01","laurasmith456",8043.48,2308.72,"Brazil","cash"
"2020-04-01","UDLA",7408.87,2332.98,"Brazil","cash"
"2020-11-01","UDLA",8740.17,3019.63,"Brazil","fiverr"
"2019-08-01","jatalijatali",10296.56,3071.99,"Brazil","cash"
"2019-02-01","brandicasey39",9848.48,1764.03,"Brazil","cash"
"2019-10-01","ryanmiller654",1065.53,2779.35,"United States","cash"
"2020-05-01","UDLA",8388.42,4079.52,"Brazil","paypal"
"2020-03-01","ashleytaylor321",9756.28,3716.55,"Brazil","cash"
"2019-10-01","nataliechen567",8400.71,2361.98,"Brazil","cash"
"2020-06-01","johndoe123",7059.29,2508.16,"Brazil","paypal"
"2020-05-01","jatalijatali",8073.33,2678.79,"Brazil","cash"
"2020-12-01","jatalijatali",7007.48,2333.79,"United States","cash"
"2020-07-01","UDLA",5976.76,3014.43,"Brazil","cash"
"2019-08-01","lifeaj130",9880.01,3396.57,"Brazil","cash"
"2020-11-01","UBO",7268.02,2637.96,"United States","cash"
"2020-10-01","chrisdavis890",8293.93,1636.3,"Brazil","cash"
"2020-11-01","josephrivera789",13101.68,2821.41,"Brazil","cash"
"2019-03-01","rebeccakelly",10973.91,1478.08,"Brazil","fiverr"
"2020-11-01","johndoe123",11062.96,3528.52,"Brazil","fiverr"
"2019-01-01","jatalijatali",6179.81,2001.21,"United States","cash"
"2020-04-01","UDLA",9430.83,2376.61,"Brazil","cash"
"2019-08-01","robertmartin567",7712.44,2460.79,"Brazil","cash"
"2020-07-01","olivialopez567",5976.92,3298.16,"Brazil","fiverr"
"2020-12-01","meganjackson789",4802.94,1168.79,"United States","fiverr"
